DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1070;1195;359;423;573;745;599
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;19;42;;;;;;
AREQUIPA;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);7;;;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;521;;;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;22;4;1;;;2;
AYACUCHO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;;;87;83;72;112;93;53
AYACUCHO;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;679;367;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;15;24;;;;1;
AYACUCHO;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;38;;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;5;;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;51;71;4;5;3;5;1
AYACUCHO;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;218;131;116;4;5;5;7;2
AYACUCHO;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;;44;18;8;5;1;5;2
AYACUCHO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;57;;39;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;45;35;40;29;22;;
AYACUCHO;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;33;20;4;2;3;1;
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;;306;239;177;169;171;219;121
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;;;;28;68;71;79;53
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;2509;;;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;7;12;5;4;3
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;;;87;131;76;104;72;44
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;;1181;120;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;523;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;5;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;16;;;;;
AYACUCHO;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;1266;1340;40;47;69;48;46
CAJAMARCA;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;49;178;;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;1096;71;;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;3;9;1;4;3;7;3
CAJAMARCA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;44;210;233;216;127;134;298;108
CAJAMARCA;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;720;609;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;75;54;2;2;;1;
CAJAMARCA;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;14;;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;1;;;;;;
CAJAMARCA;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;34;75;9;11;25;8;17
