DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
TUMBES;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;4;6;116;152;94;;
TUMBES;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;2;19;1;1;;1;2
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;119;118;134;76;86;46;74;54
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;1;;;79;65;95;109;75
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;383;176;;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;4;;7;14;15;26;3
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;2;18;107;347;175;200;119;98
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;47;129;20;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;27;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;2;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;5;;;;;
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;108;176;19;20;24;25;13
TUMBES;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;3;2;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;DAÑOS MATERIALES;90;104;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;FALTAS CONTRA EL PATRIMONIO;204;26;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO FAMELICO;;;2;1;;1;1;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE;57;58;27;116;70;66;45;24
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;HURTO SIMPLE Y DAÑO;;108;114;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;INGRESO DE ANIMALES EN INMUEBLE AJENO;;3;;;;1;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;ORGANIZACION O PARTICIPACION EN JUEGOS PROHIBIDOS;;10;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;PROTECCION DE SEÑALES SATELITALES ENCRIPTADAS;;2;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA EL PATRIMONIO;USURPACION BREVE;;8;7;2;1;2;;
UCAYALI;FALTAS;FALTAS CONTRA LA SEGURIDAD PUBLICA;FALTAS CONTRA LA SEGURIDAD PUBLICA;35;9;48;3;2;1;;4
UCAYALI;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;1;4;12;5;4;11;10;5
UCAYALI;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;23;;25;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;5;;16;16;14;;
UCAYALI;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;;8;1;;1;2;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;60;202;349;355;153;245;177;88
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;1;;;30;29;71;40;29
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;552;192;;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;;;;5;6;25;21;6
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;2;2;6;60;86;119;108;67
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;117;148;106;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;92;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;13;;;;;
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO;;406;458;89;25;42;56;43
UCAYALI;FALTAS;FALTAS CONTRA LAS PERSONAS;MALTRATO SIN LESION;4;4;;;;;;
UCAYALI;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);4;;;;;;;
Totales;FALTAS;OTRAS FALTAS (ESPECIFIQUE);OTRAS FALTAS (ESPECIFIQUE);167506;148289;116128;83898;55055;61596;61449;39864
;;;;;;;;;;;
Nota : La información registrada en el 2023, corresponde a enero  agosto.;;;;;;;;;;;
;;;;;;;;;;;
1/ Comprende los 43 distritos de la provincia de Lima.;;;;;;;;;;;
2/ Se refiere a la Región Lima que comprende las provincias de Barranca, Cajatambo, Canta, Cañete, Huaral, Huarochirí, Huaura, Oyón y Yauyos.;;;;;;;;;;;
Fuente: Instituto Nacional de Estadística e Informática  Policia Nacional del Perú.;;;;;;;;;;;
